North,asian,0,0.301029996
North,Chinese,-1,-1
Albany Park,All,-1,-1
Albany Park,American,-1,-1
Albany Park,Italian,-1,-1
Albany Park,Sandwiches,-1,-1
Albany Park,Pizza,-1,-1
Albany Park,Mexican,-1,-1
Albany Park,asian,-1,-1
Albany Park,Chinese,-1,-1
Andersonville,All,-1,-1
Andersonville,American,-1,-1
Andersonville,Italian,-1,-1
Andersonville,Sandwiches,-1,-1
Andersonville,Pizza,-1,-1
Andersonville,Mexican,-1,-1
Andersonville,asian,-1,-1
Andersonville,Chinese,-1,-1
Boystown,All,0,0.356207187
Boystown,American,0,0
Boystown,Italian,0.868913212,0.774480643
Boystown,Sandwiches,0,0.333333333
Boystown,Pizza,0.617836778,0.54501848
Boystown,Mexican,0,0.356207187
Boystown,asian,0,0.386852807
Boystown,Chinese,-1,-1
Devon Avenue,All,-1,-1
Devon Avenue,American,-1,-1
Devon Avenue,Italian,-1,-1
Devon Avenue,Sandwiches,-1,-1
Devon Avenue,Pizza,-1,-1
Devon Avenue,Mexican,-1,-1
Devon Avenue,asian,-1,-1
Devon Avenue,Chinese,-1,-1
Edgewater,All,-1,-1
Edgewater,American,-1,-1
Edgewater,Italian,-1,-1
Edgewater,Sandwiches,-1,-1
Edgewater,Pizza,-1,-1
Edgewater,Mexican,-1,-1
Edgewater,asian,-1,-1
Edgewater,Chinese,-1,-1
Irving Park/Avondale,All,-1,-1
Irving Park/Avondale,American,-1,-1
Irving Park/Avondale,Italian,-1,-1
Irving Park/Avondale,Sandwiches,-1,-1
Irving Park/Avondale,Pizza,-1,-1
Irving Park/Avondale,Mexican,-1,-1
Irving Park/Avondale,asian,-1,-1
Irving Park/Avondale,Chinese,-1,-1
Lakeview,All,0,0.386852807
Lakeview,American,0,0
Lakeview,Italian,0.914264295,0.855083738
Lakeview,Sandwiches,0,0
Lakeview,Pizza,0.609108128,0.557394306
Lakeview,Mexican,0,0.315464877
Lakeview,asian,0.430676558,0.414452687
Lakeview,Chinese,-1,-1
Lakeview East,All,0,0.356207187
Lakeview East,American,0,0.333333333
Lakeview East,Italian,0.896345619,0.779902759
Lakeview East,Sandwiches,0,0.333333333
Lakeview East,Pizza,0.912069454,0.866622987
Lakeview East,Mexican,0,0.335861428
