27,34,0.794117647058823,Belmont Cragin,Menuism
23,28,0.821428571428571,Portage Park,Menuism
52,52,1,Rogers Park,Menuism
12,12,1,River North,Menuism
38,39,0.974358974358974,Albany Park,Menuism
42,46,0.91304347826087,Austin,Menuism
22,23,0.956521739130435,Pilsen,Menuism
10,13,0.769230769230769,West Loop,Menuism
44,45,0.977777777777778,Irving Park,Menuism
43,50,0.86,North Center,Menuism
19,25,0.76,Ravenswood,Menuism
9,13,0.692307692307692,Streeterville,Menuism
47,50,0.94,Avondale,Menuism
16,22,0.727272727272727,Greater Grand Crossing,Menuism
50,58,0.862068965517241,Garfield Ridge,Menuism
32,34,0.941176470588235,Andersonville,Menuism
37,39,0.948717948717949,Dunning,Menuism
41,41,1,Chinatown,Menuism
4,6,0.666666666666667,Gold Coast,Menuism
32,39,0.82051282051282,Humboldt Park,Menuism
24,32,0.75,South Shore,Menuism
31,38,0.815789473684211,Hyde Park,Menuism
32,34,0.941176470588235,Bridgeport,Menuism
26,34,0.764705882352941,New City,Menuism
38,44,0.863636363636364,Brighton Park,Menuism
11,13,0.846153846153846,Bucktown,Menuism
28,33,0.848484848484849,North Park,Menuism
24,28,0.857142857142857,Near South Side,Menuism
27,29,0.931034482758621,Jefferson Park,Menuism
25,27,0.925925925925926,Auburn Gresham,Menuism
27,30,0.9,West Park,Menuism
23,28,0.821428571428571,West Lawn,Menuism
23,29,0.793103448275862,Ashburn,Menuism
19,22,0.863636363636364,Norwood Park,Menuism
24,27,0.888888888888889,Gage Park,Menuism
25,27,0.925925925925926,Clearing,Menuism
22,22,1,Little Italy,Menuism
18,21,0.857142857142857,Chatham,Menuism
19,21,0.904761904761905,Archer Heights,Menuism
16,24,0.666666666666667,Roseland,Menuism
15,16,0.9375,Roscoe Village,Menuism
17,23,0.739130434782609,West Englewood,Menuism
26,28,0.928571428571429,Beverly,Menuism
10,15,0.666666666666667,Morgan Park,Menuism
5,7,0.714285714285714,North Lawndale,Menuism
4,4,1,O'Hare,Menuism
19,19,1,McKinley Park,Menuism
19,22,0.863636363636364,Lincoln Square,Menuism
5,5,1,Old Town,Menuism
5,5,1,Greektown,Menuism
16,16,1,South Chicago,Menuism
22,24,0.916666666666667,West Elsdon,Menuism
4,6,0.666666666666667,Grand Boulevard,Menuism
12,17,0.705882352941177,West Garfield Park,Menuism
9,13,0.692307692307692,Edison Park,Menuism
5,9,0.555555555555556,Washington Heights,Menuism
9,12,0.75,Englewood,Menuism
10,12,0.833333333333333,Woodlawn,Menuism
10,13,0.769230769230769,Tri-taylor,Menuism
12,14,0.857142857142857,Mount Greenwood,Menuism
15,15,1,Hermosa,Menuism
8,9,0.888888888888889,East Garfield Park,Menuism
1,5,0.2,Douglas,Menuism
7,9,0.777777777777778,South Deering,Menuism
12,13,0.923076923076923,East Side,Menuism
5,6,0.833333333333333,Kenwood,Menuism
8,9,0.888888888888889,Avalon Park,Menuism
4,5,0.8,West Pullman,Menuism
5,6,0.833333333333333,Sauganash,Menuism
9,9,1,Hegewisch,Menuism
8,9,0.888888888888889,Forest Glen,Menuism
5,6,0.833333333333333,Washington Park,Menuism
5,5,1,Armour Square,Menuism
3,3,1,Canaryville,Menuism
33,33,1,Near North Side,CitySearch
18,18,1,Loop,CitySearch
49,50,0.98,Lakeview,CitySearch
47,48,0.979166666666667,West Town,CitySearch
